1785196800000000,63755.86000000,63791.33000000,63745.00000000,63768.48000000,22.06083000,1785196859999999,1406706.81128240,4793,14.59074000,930350.93260630,0
1785196860000000,63768.48000000,63768.48000000,63712.47000000,63735.18000000,5.24121000,1785196919999999,334059.08811650,3055,1.69602000,108085.71440330,0
1785196920000000,63735.18000000,63756.37000000,63726.00000000,63726.00000000,16.92254000,1785196979999999,1078593.15057120,2959,9.10307000,580207.98769030,0
1785196980000000,63726.00000000,63750.00000000,63716.01000000,63750.00000000,13.50728000,1785197039999999,860830.39465320,1987,9.62850000,613661.74200440,0
1785197040000000,63750.00000000,63769.61000000,63750.00000000,63756.92000000,4.78881000,1785197099999999,305341.23194670,1681,2.49211000,158894.00513830,0
1785197100000000,63756.93000000,63756.93000000,63666.00000000,63666.00000000,13.30106000,1785197159999999,847543.37498500,3534,4.18382000,266584.91001840,0
1785197160000000,63666.00000000,63682.00000000,63656.00000000,63667.83000000,6.40728000,1785197219999999,407949.11208110,3086,3.32222000,211533.29888110,0
1785197220000000,63667.83000000,63670.36000000,63642.00000000,63655.32000000,5.17344000,1785197279999999,329304.81466370,1909,3.31929000,211276.87739960,0
1785197280000000,63655.31000000,63655.32000000,63634.68000000,63634.69000000,9.59069000,1785197339999999,610410.68607020,2493,4.54935000,289542.08981080,0
1785197340000000,63634.68000000,63669.23000000,63634.68000000,63668.63000000,5.99085000,1785197399999999,381332.63961130,2255,2.83092000,180172.88457830,0
1785197400000000,63668.64000000,63669.23000000,63568.96000000,63574.92000000,37.38981000,1785197459999999,2378203.17476500,4406,3.23412000,205708.12651960,0
1785197460000000,63574.92000000,63647.99000000,63500.00000000,63615.99000000,81.75117000,1785197519999999,5194948.53883180,9747,25.39689000,1613985.19790710,0
1785197520000000,63616.00000000,63672.67000000,63616.00000000,63636.89000000,9.29640000,1785197579999999,591672.92951770,3813,4.56354000,290446.88683060,0
1785197580000000,63636.89000000,63636.90000000,63600.53000000,63606.00000000,9.15117000,1785197639999999,582163.84705510,3358,2.77001000,176214.86953900,0
1785197640000000,63606.01000000,63681.99000000,63606.00000000,63681.99000000,19.98298000,1785197699999999,1271881.87731420,2705,15.65678000,996467.73314730,0
1785197700000000,63682.00000000,63723.81000000,63679.99000000,63723.81000000,19.66162000,1785197759999999,1252286.86107310,3732,7.99325000,509133.56646490,0
1785197760000000,63723.82000000,63746.00000000,63710.00000000,63710.79000000,9.34931000,1785197819999999,595753.12642320,4049,6.14894000,391813.20852320,0
1785197820000000,63710.80000000,63734.00000000,63690.63000000,63734.00000000,8.74917000,1785197879999999,557369.68474900,2828,6.14394000,391404.49187440,0
1785197880000000,63734.00000000,63774.88000000,63734.00000000,63758.02000000,13.45907000,1785197939999999,858189.12930770,2092,6.07666000,387428.74184000,0
1785197940000000,63758.01000000,63786.35000000,63758.01000000,63782.00000000,9.64884000,1785197999999999,615285.09282670,1454,6.13375000,391108.37095460,0
